"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year","status","n_ppi","naics_all"
"331410","Nonferrous metal (except aluminum) smelting and refining",FALSE,"331410",6,"PCU331410331410",2009,"matched",1,"331410"
"331420","Copper rolling, drawing, extruding and alloying",FALSE,"33142",5,"PCU33142-33142-",2003,"matched",1,"33142"
"331490","Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",FALSE,"33149",5,"PCU33149-33149-",2003,"matched",1,"33149"
"331510","Ferrous metal foundries",FALSE,"33151",5,"PCU33151-33151-",1984,"matched",1,"33151"
"331520","Nonferrous metal foundries",FALSE,"33152",5,"PCU33152-33152-",1984,"matched",1,"33152"
"332114","Custom roll forming",FALSE,"332114",6,"PCU332114332114",2003,"matched",1,"332114"
"332119","Metal crown, closure, and other metal stamping (except automotive)",FALSE,"332119",6,"PCU332119332119",1984,"matched",1,"332119"
"33211A","All other forging, stamping, and sintering",FALSE,"332111",6,"PCU332111332111",1983,"matched",3,"33211, 332111, 332112"
"332200","Cutlery and handtool manufacturing",FALSE,"332",3,"PCU332---332---",1984,"matched",1,"332"
"332310","Plate work and fabricated structural product manufacturing",FALSE,"33231",5,"PCU33231-33231-",2003,"matched",1,"33231"
"332320","Ornamental and architectural metal products manufacturing",FALSE,"33232",5,"PCU33232-33232-",2003,"matched",1,"33232"
"332410","Power boiler and heat exchanger manufacturing",FALSE,"33241",5,"PCU33241-33241-",2003,"matched",1,"33241"
"332420","Metal tank (heavy gauge) manufacturing",FALSE,"33242",5,"PCU33242-33242-",2003,"matched",1,"33242"
"332430","Metal can, box, and other metal container (light gauge) manufacturing",FALSE,"33243",5,"PCU33243-33243-",1984,"matched",1,"33243"
"332500","Hardware manufacturing",FALSE,"3325",4,"PCU3325--3325--",2003,"matched",1,"3325"
"332600","Spring and wire product manufacturing",FALSE,"3326",4,"PCU3326--3326--",2003,"matched",1,"3326"
"332710","Machine shops",FALSE,"33271",5,"PCU33271-33271-",2003,"matched",1,"33271"
"332720","Turned product and screw, nut, and bolt manufacturing",FALSE,"33272",5,"PCU33272-33272-",1984,"matched",1,"33272"
"332800","Coating, engraving, heat treating and allied activities",FALSE,"3328",4,"PCU3328--3328--",2003,"matched",1,"3328"
"332913","Plumbing fixture fitting and trim manufacturing",FALSE,"332913",6,"PCU332913332913",1947,"matched",1,"332913"
"33291A","Valve and fittings other than plumbing",FALSE,"332911",6,"PCU332911332911",1991,"matched",3,"332911, 332912, 332919"
"332991","Ball and roller bearing manufacturing",FALSE,"332991",6,"PCU332991332991",1947,"matched",1,"332991"
"332996","Fabricated pipe and pipe fitting manufacturing",FALSE,"332996",6,"PCU332996332996",1965,"matched",1,"332996"
"332999","Other fabricated metal manufacturing",FALSE,"332999",6,"PCU332999332999",2003,"matched",1,"332999"
"33299A","Ammunition, arms, ordnance, and accessories manufacturing",FALSE,"33299",5,"PCU33299-33299-",2003,"matched",1,"33299"
"333111","Farm machinery and equipment manufacturing",FALSE,"333111",6,"PCU333111333111",1926,"matched",1,"333111"
"333112","Lawn and garden equipment manufacturing",FALSE,"333112",6,"PCU333112333112",1982,"matched",1,"333112"
"333120","Construction machinery manufacturing",FALSE,"33312",5,"PCU33312-33312-",2003,"matched",1,"33312"
"333130","Mining and oil and gas field machinery manufacturing",FALSE,"33313",5,"PCU33313-33313-",2003,"matched",1,"33313"
"333242","Semiconductor machinery manufacturing",FALSE,"333242",6,"PCU333242333242",2003,"matched",1,"333242"
"33329A","Other industrial machinery manufacturing",FALSE,"333241",6,"PCU333241333241",1983,"matched",3,"33324, 333241, 333243"
"333314","Optical instrument and lens manufacturing",FALSE,"33331",5,"PCU33331-33331-",2003,"matched",1,"33331"
"333316","Photographic and photocopying equipment manufacturing",FALSE,"33331",5,"PCU33331-33331-",2003,"matched",1,"33331"
"333318","Other commercial and service industry machinery manufacturing",FALSE,"33331",5,"PCU33331-33331-",2003,"matched",1,"33331"
"333413","Industrial and commercial fan and blower and air purification equipment manufacturing",FALSE,"333413",6,"PCU333413333413",2011,"matched",1,"333413"
"333414","Heating equipment (except warm air furnaces) manufacturing",FALSE,"333414",6,"PCU333414333414",1980,"matched",1,"333414"
"333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing",FALSE,"333415",6,"PCU333415333415",1977,"matched",1,"333415"
"333511","Industrial mold manufacturing",FALSE,"333511",6,"PCU333511333511",2003,"matched",1,"333511"
"333514","Special tool, die, jig, and fixture manufacturing",FALSE,"333514",6,"PCU333514333514",2003,"matched",1,"333514"
"333517","Machine tool manufacturing",FALSE,"333517",6,"PCU333517333517",2011,"matched",1,"333517"
"33351B","Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",FALSE,"333515",6,"PCU333515333515",1983,"matched",2,"333515, 333519"
"333611","Turbine and turbine generator set units manufacturing",FALSE,"333611",6,"PCU333611333611",1982,"matched",1,"333611"
